공급위치,계약시작일,공급규모
강남구,202008,1341
강남구,202011,2519
강남구,202104,1029
강동구,202008,786
강동구,202009,627
강동구,202010,2316
강동구,202011,37
강동구,202101,809
강동구,202103,780
강동구,202110,593
강북구,202011,55
강북구,202202,327
강북구,202203,216
강북구,202205,424
강서구,202005,58
강서구,202006,1204
강서구,202007,45
강서구,202109,67
관악구,202105,34
관악구,202108,43
관악구,202204,35
광진구,202009,482
광진구,202103,51
구로구,202011,2963
구로구,202203,101
구로구,202209,231
금천구,202207,35
노원구,202008,721
도봉구,202105,112
도봉구,202206,89
동대문구,202007,475
동대문구,202010,99
동대문구,202108,75
동작구,202006,357
동작구,202007,474
서초구,202004,67
서초구,202006,98
서초구,202007,42
서초구,202010,195
서초구,202011,35
서초구,202107,224
성북구,202008,218
성북구,202201,114
송파구,202103,1676
양천구,202005,238
양천구,202007,48
양천구,202009,153
영등포구,202203,106
은평구,202009,1406
종로구,202106,99
종로구,202108,81
중구,202106,281
중구,202205,429
중랑구,202008,159
중랑구,202010,134
중랑구,202012,99
중랑구,202104,924
