,2006.01,0.6
0,200602,0.2
1,200603,0.6
2,200604,0.1
3,200605,0.2
4,200606,-0.2
5,200607,0.4
6,200608,0.6
7,200609,0.3
8,20061,-0.5
9,200611,-0.5
10,200612,0.3
11,200701,0.2
12,200702,0.7
13,200703,0.6
14,200704,0.4
15,200705,0.1
16,200706,0.0
17,200707,0.4
18,200708,0.1
19,200709,0.6
20,20071,0.2
21,200711,0.0
22,200712,0.4
23,200801,0.5
24,200802,0.4
25,200803,0.9
26,200804,0.6
27,200805,0.8
28,200806,0.6
29,200807,0.7
30,200808,-0.2
31,200809,0.1
32,20081,-0.1
33,200811,-0.3
34,200812,0.0
35,200901,0.1
36,200902,0.7
37,200903,0.7
38,200904,0.3
39,200905,0.0
40,200906,-0.1
41,200907,0.4
42,200908,0.4
43,200909,0.1
44,20091,-0.3
45,200911,0.2
46,200912,0.4
47,201001,0.8
48,201002,0.2
49,201003,0.2
50,201004,0.4
51,201005,0.1
52,201006,-0.1
53,201007,0.2
54,201008,0.5
55,201009,0.8
56,20101,0.0
57,201011,-0.5
58,201012,0.4
59,201101,1.2
60,201102,0.7
61,201103,0.4
62,201104,0.1
63,201105,0.2
64,201106,0.2
65,201107,0.5
66,201108,0.7
67,201109,-0.1
68,20111,-0.2
69,201111,0.1
70,201112,0.4
71,201201,0.4
72,201202,0.4
73,201203,0.0
74,201204,0.0
75,201205,0.2
76,201206,-0.1
77,201207,-0.2
78,201208,0.5
79,201209,0.7
80,20121,-0.2
81,201211,-0.4
82,201212,0.2
83,201301,0.6
84,201302,0.3
85,201303,-0.1
86,201304,-0.1
87,201305,0.0
88,201306,-0.1
89,201307,0.2
90,201308,0.4
91,201309,0.2
92,20131,-0.3
93,201311,0.0
94,201312,0.1
95,201401,0.5
96,201402,0.3
97,201403,0.2
98,201404,0.1
99,201405,0.2
100,201406,-0.1
101,201407,0.1
102,201408,0.2
103,201409,-0.1
104,20141,-0.3
105,201411,-0.2
106,201412,0.0
107,201501,0.7
108,201502,-0.1
109,201503,0.0
110,201504,0.0
111,201505,0.3
112,201506,0.0
113,201507,0.2
114,201508,0.1
115,201509,-0.3
116,20151,0.0
117,201511,-0.2
118,201512,0.3
119,201601,0.2
120,201602,0.4
121,201603,-0.3
122,201604,0.2
123,201605,0.1
124,201606,0.0
125,201607,-0.2
126,201608,0.3
127,201609,0.6
128,20161,0.1
129,201611,-0.1
130,201612,0.1
131,201701,1.1
132,201702,0.3
133,201703,-0.1
134,201704,-0.1
135,201705,0.1
136,201706,-0.2
137,201707,0.2
138,201708,0.6
139,201709,0.1
140,20171,-0.1
141,201711,-0.7
142,201712,0.4
143,201801,0.4
144,201802,0.8
145,201803,-0.1
146,201804,0.2
147,201805,0.0
148,201806,-0.2
149,201807,-0.2
150,201808,0.9
151,201809,0.8
152,20181,-0.2
153,201811,-0.7
154,201812,-0.3
155,201901,-0.1
156,201902,0.4
157,201903,-0.2
158,201904,0.4
159,201905,0.2
160,201906,-0.2
161,201907,-0.3
162,201908,0.2
163,201909,0.4
164,20191,0.2
165,201911,-0.6
166,201912,0.2
167,202001,0.4
168,202002,0.1
169,202003,-0.2
170,202004,-0.4
171,202005,-0.1
172,202006,0.3
173,202007,-0.1
174,202008,0.6
175,202009,0.5
176,20201,-0.6
177,202011,-0.1
178,202012,0.2
179,202101,0.7
180,202102,0.5
181,202103,0.3
182,202104,0.1
183,202105,0.1
184,202106,0.0
185,202107,0.2
186,202108,0.5
187,202109,0.4
188,20211,0.2
189,202111,0.5
190,202112,0.2
191,202201,0.6
192,202202,0.6
193,202203,0.7
194,202204,0.7
195,202205,0.7
196,202206,0.6
197,202207,0.5
198,202208,-0.1
199,202209,0.3
200,20221,0.3
